TrueClass,PredictedClass,Discriminants
Kecimen,Kecimen,"{'Besni': -2.457399988277253, 'Kecimen': -0.5506625607035228}"
Kecimen,Kecimen,"{'Besni': -30.28218041597023, 'Kecimen': -24.390836418615862}"
Kecimen,Kecimen,"{'Besni': -14.834638186857976, 'Kecimen': -8.581053666318205}"
Kecimen,Kecimen,"{'Besni': -4.463637867889258, 'Kecimen': -1.428670230074364}"
Kecimen,Kecimen,"{'Besni': -3.6825786504857403, 'Kecimen': -2.613247450848922}"
Kecimen,Besni,"{'Besni': -1.012438872793128, 'Kecimen': -1.0359683110100544}"
Kecimen,Kecimen,"{'Besni': -6.5275030142865305, 'Kecimen': -2.0240041806216342}"
Kecimen,Besni,"{'Besni': -3.559864303271349, 'Kecimen': -3.6711763617648616}"
Kecimen,Kecimen,"{'Besni': -1.849575968295973, 'Kecimen': -0.5068652914728309}"
Kecimen,Kecimen,"{'Besni': -1.9236949110145263, 'Kecimen': -1.5329354996383948}"
Kecimen,Kecimen,"{'Besni': -9.7873051340693, 'Kecimen': -8.050060437754187}"
Kecimen,Besni,"{'Besni': -1.39542305349925, 'Kecimen': -2.244816807314088}"
Kecimen,Kecimen,"{'Besni': -3.7658127603341196, 'Kecimen': -2.4907585829910444}"
Kecimen,Kecimen,"{'Besni': -1.885720207560234, 'Kecimen': -0.5332634806653564}"
Kecimen,Kecimen,"{'Besni': -12.063806019478717, 'Kecimen': -6.652966706480827}"
Kecimen,Kecimen,"{'Besni': -4.823086861267129, 'Kecimen': -1.9323875970373823}"
Kecimen,Kecimen,"{'Besni': -3.4896235784353467, 'Kecimen': -0.619886823285696}"
Kecimen,Kecimen,"{'Besni': -5.220494957352539, 'Kecimen': -1.9808719812230016}"
Kecimen,Besni,"{'Besni': -0.590913123411603, 'Kecimen': -2.5967772988544624}"
Kecimen,Kecimen,"{'Besni': -3.286192695368805, 'Kecimen': -2.7423628892424396}"
Kecimen,Kecimen,"{'Besni': -5.1565729591989475, 'Kecimen': -2.8972090979405207}"
Kecimen,Besni,"{'Besni': -1.1018530275178373, 'Kecimen': -2.980424702384411}"
Kecimen,Kecimen,"{'Besni': -4.280239011593316, 'Kecimen': -0.8979395615161672}"
Kecimen,Kecimen,"{'Besni': -4.201255344272294, 'Kecimen': -1.4151247704879775}"
Kecimen,Kecimen,"{'Besni': -2.778035166911375, 'Kecimen': -0.7184688544273131}"
Kecimen,Kecimen,"{'Besni': -7.355992605190822, 'Kecimen': -5.035544255985418}"
Kecimen,Kecimen,"{'Besni': -17.81793474461759, 'Kecimen': -10.71600185952079}"
Kecimen,Kecimen,"{'Besni': -2.3628239692028346, 'Kecimen': -0.38292623948033355}"
Kecimen,Kecimen,"{'Besni': -4.225814040904225, 'Kecimen': -0.7904817299250696}"
Kecimen,Besni,"{'Besni': -1.0844846829167647, 'Kecimen': -2.1028519187625414}"
Kecimen,Kecimen,"{'Besni': -2.9074150100726577, 'Kecimen': -1.1389817825864361}"
Kecimen,Kecimen,"{'Besni': -1.9519813233205419, 'Kecimen': -0.8935590523360191}"
Kecimen,Kecimen,"{'Besni': -2.065644146884835, 'Kecimen': -0.6491624490174542}"
Kecimen,Kecimen,"{'Besni': -3.1211401603230158, 'Kecimen': -0.5850631946948142}"
Kecimen,Besni,"{'Besni': -1.3653250283649965, 'Kecimen': -2.2697179497800946}"
Kecimen,Kecimen,"{'Besni': -3.5773371565834013, 'Kecimen': -1.0856355842910064}"
Kecimen,Kecimen,"{'Besni': -1.2634278123119047, 'Kecimen': -0.8510787755171578}"
Kecimen,Besni,"{'Besni': -1.2272749088057073, 'Kecimen': -2.8106279636134786}"
Kecimen,Kecimen,"{'Besni': -2.4968160033760736, 'Kecimen': -2.4583284455478496}"
Kecimen,Kecimen,"{'Besni': -1.7613653152324398, 'Kecimen': -1.517121491626998}"
Kecimen,Kecimen,"{'Besni': -1.4340879277924317, 'Kecimen': -0.8278765432668574}"
Kecimen,Kecimen,"{'Besni': -3.5871707735867413, 'Kecimen': -0.33541499766724425}"
Kecimen,Kecimen,"{'Besni': -3.6238816053893563, 'Kecimen': -0.3793372917967731}"
Kecimen,Kecimen,"{'Besni': -1.475803083029891, 'Kecimen': -1.1555419098395812}"
Kecimen,Kecimen,"{'Besni': -5.407411483609332, 'Kecimen': -1.3651262372323498}"
Kecimen,Kecimen,"{'Besni': -2.6738178132051518, 'Kecimen': -2.4446969188128644}"
Kecimen,Kecimen,"{'Besni': -5.609991235365311, 'Kecimen': -2.355976809086708}"
Kecimen,Kecimen,"{'Besni': -3.2249697993871287, 'Kecimen': -0.49526276105133255}"
Kecimen,Kecimen,"{'Besni': -2.7717219492263094, 'Kecimen': -0.7887488212851194}"
Kecimen,Kecimen,"{'Besni': -2.6889153735324416, 'Kecimen': -1.0616477018764572}"
Kecimen,Kecimen,"{'Besni': -7.243050148412328, 'Kecimen': -6.0616884548192305}"
Kecimen,Kecimen,"{'Besni': -1.0075479555194078, 'Kecimen': -0.7666617273660157}"
Kecimen,Besni,"{'Besni': -45.2980228375653, 'Kecimen': -50.49479959907249}"
Kecimen,Kecimen,"{'Besni': -3.0452220282180917, 'Kecimen': -1.8556242663048423}"
Kecimen,Kecimen,"{'Besni': -8.09016300471145, 'Kecimen': -2.7130883882489067}"
Kecimen,Kecimen,"{'Besni': -8.697122962632456, 'Kecimen': -3.4669281783122488}"
Kecimen,Kecimen,"{'Besni': -4.0671346525197745, 'Kecimen': -0.4971140724934307}"
Kecimen,Kecimen,"{'Besni': -3.989376494038474, 'Kecimen': -0.5714481354322378}"
Kecimen,Kecimen,"{'Besni': -2.9353070457999033, 'Kecimen': -0.24579364485350502}"
Kecimen,Besni,"{'Besni': -1.0994335975247091, 'Kecimen': -1.3107181004110817}"
Kecimen,Kecimen,"{'Besni': -2.9870806401077097, 'Kecimen': -0.908599951226086}"
Kecimen,Kecimen,"{'Besni': -3.3575499047027466, 'Kecimen': -0.8716833650837215}"
Kecimen,Kecimen,"{'Besni': -7.473895840784156, 'Kecimen': -2.556139742453172}"
Kecimen,Kecimen,"{'Besni': -5.326066188038539, 'Kecimen': -2.9857124121596446}"
Kecimen,Kecimen,"{'Besni': -3.99328389711561, 'Kecimen': -0.7758295929923984}"
Kecimen,Kecimen,"{'Besni': -4.383125104029086, 'Kecimen': -0.8989049740828425}"
Kecimen,Kecimen,"{'Besni': -6.620151119049251, 'Kecimen': -3.810647553534502}"
Kecimen,Kecimen,"{'Besni': -2.033202965946346, 'Kecimen': -2.02453847106908}"
Kecimen,Kecimen,"{'Besni': -2.425315600117423, 'Kecimen': -1.1203948058737623}"
Kecimen,Kecimen,"{'Besni': -5.00248057368712, 'Kecimen': -1.4626849122133339}"
Kecimen,Kecimen,"{'Besni': -3.64053810874557, 'Kecimen': -2.5445473747097087}"
Kecimen,Kecimen,"{'Besni': -2.0865372007795644, 'Kecimen': -0.1532069508539543}"
Kecimen,Kecimen,"{'Besni': -5.261311769014533, 'Kecimen': -1.9494523433134954}"
Kecimen,Kecimen,"{'Besni': -16.600954021898605, 'Kecimen': -11.490960827348353}"
Kecimen,Kecimen,"{'Besni': -3.1874305987635263, 'Kecimen': -1.4171164800964238}"
Kecimen,Kecimen,"{'Besni': -1.773678949211255, 'Kecimen': -1.3016349119232722}"
Kecimen,Kecimen,"{'Besni': -3.9355890844816876, 'Kecimen': -1.349297461723425}"
Kecimen,Besni,"{'Besni': -5.551923819762255, 'Kecimen': -7.062029695135969}"
Kecimen,Kecimen,"{'Besni': -6.340776157497839, 'Kecimen': -4.087556794932948}"
Kecimen,Kecimen,"{'Besni': -4.069184574253816, 'Kecimen': -0.870620153918046}"
Kecimen,Kecimen,"{'Besni': -10.012875060605287, 'Kecimen': -5.262442455248069}"
Kecimen,Besni,"{'Besni': -1.3145294325208006, 'Kecimen': -2.755685624403868}"
Kecimen,Besni,"{'Besni': -0.8633755957647349, 'Kecimen': -1.2623017965031993}"
Kecimen,Besni,"{'Besni': -2.4974148827285374, 'Kecimen': -3.1605758540568507}"
Kecimen,Kecimen,"{'Besni': -3.0090002494631856, 'Kecimen': -2.266871104047891}"
Kecimen,Kecimen,"{'Besni': -2.135375567605287, 'Kecimen': -0.7407174235401627}"
Kecimen,Kecimen,"{'Besni': -2.8563373435357193, 'Kecimen': -1.3626315309536898}"
Kecimen,Kecimen,"{'Besni': -2.2131931386195953, 'Kecimen': -1.221485763657272}"
Kecimen,Kecimen,"{'Besni': -2.879577384674682, 'Kecimen': -0.6370641863329456}"
Kecimen,Kecimen,"{'Besni': -6.324980949045013, 'Kecimen': -1.8873888031158015}"
Kecimen,Kecimen,"{'Besni': -2.562294641469849, 'Kecimen': -0.6228932790812766}"
Kecimen,Besni,"{'Besni': -2.602246154704817, 'Kecimen': -3.1149612289695985}"
Kecimen,Kecimen,"{'Besni': -3.1936659357623967, 'Kecimen': -1.188158909297736}"
Kecimen,Kecimen,"{'Besni': -9.031009978418744, 'Kecimen': -5.663792224484163}"
Kecimen,Kecimen,"{'Besni': -8.04421763688022, 'Kecimen': -3.7735059838038727}"
Kecimen,Kecimen,"{'Besni': -4.064311901614967, 'Kecimen': -0.6876172302729893}"
Kecimen,Besni,"{'Besni': -1.4678774742986085, 'Kecimen': -2.7194869797169328}"
Kecimen,Kecimen,"{'Besni': -3.450320127131184, 'Kecimen': -1.8710898006463386}"
Kecimen,Kecimen,"{'Besni': -2.825580319527587, 'Kecimen': -0.8321781375513897}"
Kecimen,Kecimen,"{'Besni': -4.128787012121905, 'Kecimen': -1.150761035081522}"
Kecimen,Kecimen,"{'Besni': -3.3058415019613006, 'Kecimen': -0.3085920269535733}"
Kecimen,Kecimen,"{'Besni': -2.8410059118566453, 'Kecimen': -0.5095100047034831}"
Kecimen,Kecimen,"{'Besni': -2.9747309276706133, 'Kecimen': -1.0949420050303957}"
Kecimen,Besni,"{'Besni': -1.6849077016091227, 'Kecimen': -2.401971088993868}"
Kecimen,Kecimen,"{'Besni': -2.724964865042158, 'Kecimen': -1.6866477605510442}"
Kecimen,Kecimen,"{'Besni': -3.3179068676149903, 'Kecimen': -1.6842805514401684}"
Kecimen,Besni,"{'Besni': -2.697684013784212, 'Kecimen': -3.3218055254936827}"
Kecimen,Kecimen,"{'Besni': -7.206142049682924, 'Kecimen': -2.5012529167080357}"
Kecimen,Kecimen,"{'Besni': -3.4250915426600077, 'Kecimen': -1.4196643870579293}"
Kecimen,Besni,"{'Besni': -1.1433115627020656, 'Kecimen': -1.3790349783105391}"
Kecimen,Kecimen,"{'Besni': -4.696310401944295, 'Kecimen': -0.7868796091558323}"
Kecimen,Kecimen,"{'Besni': -4.228454868725733, 'Kecimen': -0.6700895969622973}"
Kecimen,Kecimen,"{'Besni': -1.321689071644852, 'Kecimen': -0.9432522046714769}"
Kecimen,Kecimen,"{'Besni': -1.1438380870252094, 'Kecimen': -0.6098946689904636}"
Kecimen,Kecimen,"{'Besni': -2.909046358527542, 'Kecimen': -0.5295467219555955}"
Kecimen,Kecimen,"{'Besni': -6.8049203334391235, 'Kecimen': -2.3139404307954297}"
Kecimen,Kecimen,"{'Besni': -2.9351689567351897, 'Kecimen': -0.8776772685570647}"
Kecimen,Kecimen,"{'Besni': -5.856048209791089, 'Kecimen': -2.7726708584062245}"
Kecimen,Kecimen,"{'Besni': -4.02532094800093, 'Kecimen': -1.2664621338566355}"
Kecimen,Kecimen,"{'Besni': -2.496927592401466, 'Kecimen': -0.8564226343574014}"
Kecimen,Kecimen,"{'Besni': -3.2673110333547757, 'Kecimen': -1.9470873597792704}"
Kecimen,Kecimen,"{'Besni': -2.3258743961583406, 'Kecimen': -1.0965974092112276}"
Kecimen,Besni,"{'Besni': -1.2475281654264647, 'Kecimen': -1.6507186045235556}"
Kecimen,Kecimen,"{'Besni': -33.285771693397756, 'Kecimen': -26.473390725867823}"
Kecimen,Kecimen,"{'Besni': -2.7331556766539387, 'Kecimen': -0.6082264224745464}"
Kecimen,Kecimen,"{'Besni': -11.08036648566613, 'Kecimen': -5.7808602525593535}"
Kecimen,Kecimen,"{'Besni': -6.331405103899241, 'Kecimen': -3.565442185634638}"
Kecimen,Kecimen,"{'Besni': -4.2890996513946815, 'Kecimen': -0.9360602703513486}"
Kecimen,Kecimen,"{'Besni': -4.2909593228467235, 'Kecimen': -1.0681670569203277}"
Kecimen,Kecimen,"{'Besni': -1.049249080178761, 'Kecimen': -0.6326655557244322}"
Kecimen,Besni,"{'Besni': -1.1041415620554824, 'Kecimen': -3.12925795523262}"
Kecimen,Besni,"{'Besni': -2.575100445487138, 'Kecimen': -3.0173462688144337}"
Kecimen,Kecimen,"{'Besni': -2.821062913791758, 'Kecimen': -1.3107084787723644}"
Kecimen,Kecimen,"{'Besni': -3.4111099782725876, 'Kecimen': -1.0395125935244838}"
Kecimen,Kecimen,"{'Besni': -6.938550142311702, 'Kecimen': -2.304311285520116}"
Kecimen,Besni,"{'Besni': -0.9595234119265923, 'Kecimen': -1.5393771665545994}"
Kecimen,Kecimen,"{'Besni': -5.0059932720627085, 'Kecimen': -1.416411801369641}"
Kecimen,Besni,"{'Besni': -1.2428261912644487, 'Kecimen': -2.1764784222203346}"
Kecimen,Kecimen,"{'Besni': -2.722285009938182, 'Kecimen': -1.4581969166195519}"
Kecimen,Kecimen,"{'Besni': -2.657958580110229, 'Kecimen': -0.28461828242550063}"
Kecimen,Besni,"{'Besni': -2.9827089076859554, 'Kecimen': -3.7632542148360772}"
Kecimen,Kecimen,"{'Besni': -3.5393017607475183, 'Kecimen': -1.1284963711659346}"
Kecimen,Kecimen,"{'Besni': -1.867782387411312, 'Kecimen': -1.2342900828292143}"
Kecimen,Kecimen,"{'Besni': -3.6365554110560048, 'Kecimen': -3.0158186463762973}"
Kecimen,Kecimen,"{'Besni': -5.581916630536674, 'Kecimen': -1.3558128353566317}"
Kecimen,Kecimen,"{'Besni': -11.777554285273656, 'Kecimen': -5.922849225160326}"
Kecimen,Kecimen,"{'Besni': -4.9502372692947905, 'Kecimen': -0.9919088202245265}"
Kecimen,Besni,"{'Besni': -0.7388162430867213, 'Kecimen': -1.2527414357181796}"
Kecimen,Kecimen,"{'Besni': -2.45811330055634, 'Kecimen': -0.7507525570505925}"
Kecimen,Kecimen,"{'Besni': -4.133457523888854, 'Kecimen': -1.1135647740743506}"
Kecimen,Kecimen,"{'Besni': -5.051080606924045, 'Kecimen': -2.3763920627132524}"
Kecimen,Kecimen,"{'Besni': -4.583058422803976, 'Kecimen': -2.7559110156361837}"
Kecimen,Kecimen,"{'Besni': -5.6754013115979145, 'Kecimen': -1.6129459510960942}"
Kecimen,Kecimen,"{'Besni': -11.899232930437464, 'Kecimen': -6.877621152694665}"
Kecimen,Kecimen,"{'Besni': -4.244467577659956, 'Kecimen': -0.747629853055105}"
Kecimen,Kecimen,"{'Besni': -1.901746220955964, 'Kecimen': -0.4389178063469782}"
Kecimen,Kecimen,"{'Besni': -2.3633527363544102, 'Kecimen': -1.9210830876081433}"
Kecimen,Kecimen,"{'Besni': -3.513050121440738, 'Kecimen': -2.2586483131340964}"
Kecimen,Kecimen,"{'Besni': -4.323507035527089, 'Kecimen': -2.807426802982897}"
Kecimen,Kecimen,"{'Besni': -25.553021137066384, 'Kecimen': -18.08672255808951}"
Kecimen,Besni,"{'Besni': -2.1140116504282367, 'Kecimen': -2.285265901953109}"
Kecimen,Kecimen,"{'Besni': -6.943900895484187, 'Kecimen': -3.151869080326912}"
Kecimen,Kecimen,"{'Besni': -2.5223029530081025, 'Kecimen': -1.5425753076819457}"
Kecimen,Kecimen,"{'Besni': -2.8997560004761844, 'Kecimen': -1.055117483495472}"
Kecimen,Kecimen,"{'Besni': -16.20513513843, 'Kecimen': -12.928946552777091}"
Kecimen,Kecimen,"{'Besni': -2.6279815897988277, 'Kecimen': -0.274761686744692}"
Kecimen,Kecimen,"{'Besni': -4.308326778310619, 'Kecimen': -1.2256694977528875}"
Kecimen,Kecimen,"{'Besni': -3.9972196178377715, 'Kecimen': -0.8931059745182481}"
Kecimen,Kecimen,"{'Besni': -3.862354481637789, 'Kecimen': -1.2582841380931047}"
Kecimen,Kecimen,"{'Besni': -2.072113979033965, 'Kecimen': -0.9148716794132399}"
Kecimen,Kecimen,"{'Besni': -2.901428827240018, 'Kecimen': -1.6660604248051563}"
Kecimen,Kecimen,"{'Besni': -2.6447314270862146, 'Kecimen': -0.4093428192884528}"
Kecimen,Kecimen,"{'Besni': -2.2955058251438745, 'Kecimen': -0.9176788428509914}"
Kecimen,Kecimen,"{'Besni': -7.7239589312588635, 'Kecimen': -2.7118527066594}"
Kecimen,Kecimen,"{'Besni': -2.3379874897110815, 'Kecimen': -0.11092778832732272}"
Kecimen,Kecimen,"{'Besni': -8.551195337171054, 'Kecimen': -2.960248977433521}"
Kecimen,Kecimen,"{'Besni': -6.387999187740673, 'Kecimen': -1.9584934314787121}"
Kecimen,Kecimen,"{'Besni': -5.182663622769961, 'Kecimen': -1.539823107354498}"
Kecimen,Kecimen,"{'Besni': -5.192913598370447, 'Kecimen': -3.0720412013794185}"
Kecimen,Kecimen,"{'Besni': -4.5399491778648216, 'Kecimen': -2.669170996220479}"
Kecimen,Kecimen,"{'Besni': -2.4727363316839313, 'Kecimen': -0.25470950898464123}"
Kecimen,Kecimen,"{'Besni': -4.094438057042932, 'Kecimen': -0.9752049248307142}"
Kecimen,Kecimen,"{'Besni': -4.131750739764274, 'Kecimen': -1.0080712623183732}"
Kecimen,Kecimen,"{'Besni': -5.002109010560843, 'Kecimen': -2.3899287779850313}"
Kecimen,Kecimen,"{'Besni': -2.3274345968333403, 'Kecimen': -2.2591822596428353}"
Kecimen,Besni,"{'Besni': -1.3155391467594084, 'Kecimen': -1.9575539835766413}"
Kecimen,Kecimen,"{'Besni': -4.989008394350066, 'Kecimen': -1.221918567496437}"
Kecimen,Kecimen,"{'Besni': -5.9751131872431, 'Kecimen': -2.7160375992671018}"
Kecimen,Kecimen,"{'Besni': -1.9108118098721594, 'Kecimen': -1.548665094376199}"
Kecimen,Kecimen,"{'Besni': -9.839268276735275, 'Kecimen': -5.598160601722711}"
Kecimen,Besni,"{'Besni': -1.1179592166094636, 'Kecimen': -1.9347777748109165}"
Kecimen,Kecimen,"{'Besni': -2.8619468672892925, 'Kecimen': -1.8924318121634212}"
Kecimen,Kecimen,"{'Besni': -1.4984598967137241, 'Kecimen': -1.1446994216631479}"
Kecimen,Besni,"{'Besni': -0.9087175758517314, 'Kecimen': -2.183516985150403}"
Kecimen,Kecimen,"{'Besni': -1.6722404480423387, 'Kecimen': -0.4422017060864106}"
Kecimen,Kecimen,"{'Besni': -7.640617205823169, 'Kecimen': -5.100132705915199}"
Kecimen,Kecimen,"{'Besni': -3.106157164722527, 'Kecimen': -1.4705912214289931}"
Kecimen,Kecimen,"{'Besni': -2.8254773132622057, 'Kecimen': -0.5297478373821499}"
Kecimen,Kecimen,"{'Besni': -10.726051528762584, 'Kecimen': -6.350659456440755}"
Kecimen,Besni,"{'Besni': -0.7207875803564394, 'Kecimen': -1.3683317647977877}"
Kecimen,Kecimen,"{'Besni': -9.604152799693633, 'Kecimen': -4.656341701818089}"
Kecimen,Kecimen,"{'Besni': -5.168951534609027, 'Kecimen': -1.5059691075342907}"
Kecimen,Kecimen,"{'Besni': -18.348093889297836, 'Kecimen': -11.225782365617691}"
Kecimen,Kecimen,"{'Besni': -13.454329782678368, 'Kecimen': -7.439006319219754}"
Kecimen,Kecimen,"{'Besni': -3.2623980938712887, 'Kecimen': -1.2280115695332419}"
Kecimen,Kecimen,"{'Besni': -8.369966298859776, 'Kecimen': -5.6998382779937335}"
Kecimen,Kecimen,"{'Besni': -5.8902154043760255, 'Kecimen': -2.003951851229764}"
Kecimen,Kecimen,"{'Besni': -3.4806640188835427, 'Kecimen': -0.2925916954668932}"
Kecimen,Kecimen,"{'Besni': -5.575989983255372, 'Kecimen': -2.748833126424487}"
Kecimen,Kecimen,"{'Besni': -2.705936334592373, 'Kecimen': -0.4422574300370139}"
Kecimen,Kecimen,"{'Besni': -3.33990321254728, 'Kecimen': -1.5535724263352693}"
Kecimen,Kecimen,"{'Besni': -3.724361904683513, 'Kecimen': -2.321208073892265}"
Kecimen,Kecimen,"{'Besni': -3.6437826381784766, 'Kecimen': -0.48802456005077}"
Kecimen,Kecimen,"{'Besni': -6.498073780222255, 'Kecimen': -3.8557476944923565}"
Kecimen,Kecimen,"{'Besni': -2.982284489396216, 'Kecimen': -0.3486470862866923}"
Kecimen,Kecimen,"{'Besni': -2.4115947807554305, 'Kecimen': -1.095226298519363}"
Kecimen,Kecimen,"{'Besni': -4.285898098409351, 'Kecimen': -0.6272736689472543}"
Kecimen,Kecimen,"{'Besni': -3.6021122102666423, 'Kecimen': -2.7806422507807533}"
Kecimen,Kecimen,"{'Besni': -15.078144222625204, 'Kecimen': -9.176396884975098}"
Kecimen,Kecimen,"{'Besni': -8.10632191799457, 'Kecimen': -3.4566036558454525}"
Kecimen,Kecimen,"{'Besni': -17.061662202608133, 'Kecimen': -10.771483832824597}"
Kecimen,Kecimen,"{'Besni': -1.7253226880816337, 'Kecimen': -1.1105765697879126}"
Kecimen,Kecimen,"{'Besni': -6.063873550853183, 'Kecimen': -1.8418566274998798}"
Kecimen,Kecimen,"{'Besni': -4.605694033776999, 'Kecimen': -2.617018250124319}"
Kecimen,Kecimen,"{'Besni': -6.923799075926329, 'Kecimen': -2.6241562566384964}"
Kecimen,Kecimen,"{'Besni': -4.302572280570678, 'Kecimen': -2.2117171564045472}"
Kecimen,Kecimen,"{'Besni': -8.151706427910518, 'Kecimen': -3.154442009939027}"
Kecimen,Kecimen,"{'Besni': -1.9068238309768173, 'Kecimen': -0.15008905764614916}"
Kecimen,Kecimen,"{'Besni': -4.543989755670951, 'Kecimen': -0.5803371996306079}"
Kecimen,Kecimen,"{'Besni': -7.736712198738987, 'Kecimen': -2.413321078517539}"
Kecimen,Kecimen,"{'Besni': -5.313678457489596, 'Kecimen': -1.924197836586896}"
Kecimen,Kecimen,"{'Besni': -2.156239338153261, 'Kecimen': -0.14863338210532945}"
Kecimen,Kecimen,"{'Besni': -1.6634047352769947, 'Kecimen': -1.1178362009667744}"
Kecimen,Kecimen,"{'Besni': -3.884290756561283, 'Kecimen': -1.8481160792708682}"
Kecimen,Kecimen,"{'Besni': -2.0106367895403583, 'Kecimen': -1.320910249192302}"
Kecimen,Kecimen,"{'Besni': -3.1170014345258323, 'Kecimen': -1.8838605038253853}"
Kecimen,Kecimen,"{'Besni': -2.5467726912685595, 'Kecimen': -1.4556323357454541}"
Kecimen,Kecimen,"{'Besni': -5.5541577814916625, 'Kecimen': -1.5299386576561873}"
Kecimen,Besni,"{'Besni': -2.2976092821896836, 'Kecimen': -3.437060265289713}"
Kecimen,Besni,"{'Besni': -2.755782816967943, 'Kecimen': -3.3178282131059103}"
Kecimen,Kecimen,"{'Besni': -2.0338201322567215, 'Kecimen': -0.8076375637410605}"
Kecimen,Kecimen,"{'Besni': -5.350827371100156, 'Kecimen': -2.919325366730663}"
Kecimen,Kecimen,"{'Besni': -18.81094260425894, 'Kecimen': -11.501182717969092}"
Kecimen,Kecimen,"{'Besni': -1.556740333448161, 'Kecimen': -1.3939230324451235}"
Kecimen,Kecimen,"{'Besni': -4.124976653149821, 'Kecimen': -2.669224264031482}"
Kecimen,Kecimen,"{'Besni': -5.863740323490715, 'Kecimen': -2.04221900133019}"
Kecimen,Kecimen,"{'Besni': -2.2825650187173308, 'Kecimen': -0.918475878315985}"
Kecimen,Kecimen,"{'Besni': -3.8409471772161012, 'Kecimen': -0.6725415750624356}"
Kecimen,Kecimen,"{'Besni': -3.0249219511590644, 'Kecimen': -1.9903146917871473}"
Kecimen,Kecimen,"{'Besni': -4.217676611386469, 'Kecimen': -0.5913061609200528}"
Kecimen,Kecimen,"{'Besni': -1.133990007930962, 'Kecimen': -0.9053933293946922}"
Kecimen,Kecimen,"{'Besni': -1.7265423136487295, 'Kecimen': -0.9056467181878247}"
Kecimen,Kecimen,"{'Besni': -2.806155013084277, 'Kecimen': -0.19644028044492146}"
Kecimen,Kecimen,"{'Besni': -2.3161830065293145, 'Kecimen': -2.1911671802370445}"
Kecimen,Kecimen,"{'Besni': -1.5180920812214556, 'Kecimen': -1.1844785127719364}"
Kecimen,Kecimen,"{'Besni': -1.809924445878118, 'Kecimen': -1.250945517532538}"
Kecimen,Kecimen,"{'Besni': -3.7902894170693306, 'Kecimen': -0.6439174075452302}"
Kecimen,Besni,"{'Besni': -54.13062261502157, 'Kecimen': -60.17507845360113}"
